Date,12-Month Inflation(%),Total Remittances ,Total Debt,Imports ,Exports ,Foreign direct investment,"IBRD loans and IDA credits (DOD, current US$)",Unemployment Rate,exchange_rate,Deposit,Savings,Lending ,Overdraft ,Interbank Rate,91-Day Tbill,182-days Tbill,364-days Tbill,Cash Reserve Requirement,Central Bank Rate
1 12 2005,4.7,40557,743603.81,6739990276,5341992293,-11524455.87,2663224000,2.74,73.76,4.52,1.38,13.16,13.67,7.79,8.07,8.49,                  -   ,6,
1 12 2006,7.98,34458.82,792863.77,8329126840,5935978411,-26717027.61,2764089000,2.68,69.99,4.11,1.35,13.74,13.91,6.34,5.73,7.32,                  -   ,6,10
3 12 2007,5.7,41420.52,844982.11,10218887780,7004914020,-693011390.5,2968119000,2.65,64.265,4.32,1.67,13.32,12.96,7.05,6.87,7.87,                  -   ,6,8.75
1 12 2008,17.83,40128.68,972899.25,12529038544,8138887724,-51819059.31,3050475000,2.75,79.08,4.89,1.65,14.87,14.39,6.67,8.59,9.08,                  -   ,5,8.5
1 12 2009,5.32,56328.98,1177940.63,11505843417,7950667080,-70269794.39,3156096000,2.81,74.895,4.84,1.73,14.76,14.13,2.95,6.82,7.38,8.01,4.5,7
1 12 2010,4.51,65617,1320138.43,13744246853,9137589276,-176486731.9,3237614000,2.79,80.895,3.59,1.45,13.87,13.69,1.18,2.28,2.59,3.36,4.5,6
1 12 2011,18.93,85244.3,1485487.98,17272679879,10100126370,-1364485299,3388428000,2.71,89.6,6.99,1.59,20.04,20.2,21.75,18.3,18.3,20.96,5.25,18
3 12 2012,3.2,105656.42,1793238.26,17910885230,11203175900,-1141800837,3585785000,2.69,85.915,6.8,1.6,18.15,17.79,5.84,8.3,9.25,11.71,5.25,11
2 12 2013,7.15,113216.46,2111551.74,18299434695,10972694027,-920213200.2,3982522000,2.76,86.65,6.65,1.58,16.99,16.51,8.98,9.52,10.41,10.69,5.25,8.5
1 12 2014,6.02,130172,2478444.99,20279300678,11248585738,-745818769.2,4199127000,2.77,90.19,6.81,1.85,15.99,15.86,6.91,8.58,9.49,10.38,5.25,8.5
1 12 2015,8.01,134004.83,3155763.33,17669406545,10608335823,-377731883.4,4381759000,2.76,102.185,8.02,1.56,18.3,18.48,7.27,9.81,11.43,12.5,5.25,11.5
1 12 2016,6.35,160940.65,3827298.06,16171498982,9912815674,-352628512.9,4567712000,2.76,101.85,7.33,6.37,13.66,13.49,5.92,8.44,10.55,11.02,5.25,10
1 12 2017,4.5,203819.83,4569629.79,19080378151,10448711418,-1236175275,5303104000,3.54,103.1,8.22,6.91,13.64,13.54,7.27,8.01,10.53,11.08,5.25,10
3 12 2018,5.71,243551.63,5272503.04,20167352977,11564075006,-770978668.5,5801797000,4.28,102.51,7.41,5.13,12.51,12.17,8.15,7.34,8.4,9.68,5.25,9
2 12 2019,5.82,250307.74,6048926.5,20408407784,11471243360,-432713366.6,7124964000,5.01,102.6,7.11,4.02,12.24,11.67,6.03,7.17,8.16,9.8,5.25,8.5
1 12 2020,5.62,299579.26,7281826.42,17711641004,9705264724,387156923.5,9333613000,5.62,110.07,6.3,2.7,12.02,11.51,5.29,6.9,7.38,8.27,4.25,7
1 12 2021,5.73,350562.38,8206739.71,22000771322,11814617095,383613637.7,10228332000,5.69,112.52,6.5,2.55,12.16,11.45,5.02,7.26,7.949,9.134,4.25,7
1 12 2022,9.06,357298.68,,24605579817,13953584184,-250399759.5,11052655000,5.81,122.5,7.17,3.56,12.67,12.22,5.39,9.33,9.8,10.27,4.25,8.75
1 12 2023,6.63,372569.94,,22046326203,12625503424,-228284631.5,12464757000,5.68,153.24,10.1,4.24,14.63,14.65,11.65,15.7,15.8,15.81,4.25,12.5
