Date,12-Month Inflation(%),Total Remittances,Total Debt,Imports,Exports,Foreign direct investment,"IBRD loans and IDA credits (DOD, current US$)",Unemployment Rate,exchange_rate,Deposit,Savings,Lending,Overdraft,Interbank Rate,91-Day Tbill,182-days Tbill,364-days Tbill,Cash Reserve Requirement,Central Bank Rate
2005,10.1234413,31824.89069,743423.5804,6739990276,5341992293,-11524455.87,2663224000,2.74,75.56639676,4.059166667,1.194166667,12.88666667,13.68083333,7.971666667,8.4375,8.831666667,,6,9.75
2006,6.401048387,34003.04286,777437.5732,8329126840,5935978411,-26717027.61,2764089000,2.68,72.14550403,4.258333333,1.341666667,13.63583333,13.68,6.711666667,6.8125,7.694166667,,6,9.853830645
2007,4.233647541,48142.8168,818335.703,10218887780,7004914020,-693011390.5,2968119000,2.65,67.46665984,4.256666667,1.55,13.33166667,13.46583333,6.97,6.8,7.886666667,,6,9.244877049
2008,16.26650407,51063.67789,880032.5659,12529038544,8138887724,-51819059.31,3050475000,2.75,69.00327236,4.56,1.695,14.01666667,13.54916667,7.1075,7.703333333,8.523333333,,5.916666667,8.854674797
2009,9.454552846,39535.31,1046620.948,11505843417,7950667080,-70269794.39,3156096000,2.81,77.37859756,5.09,1.8375,14.80416667,13.94,4.1525,7.376666667,8.154166667,8.386666667,4.708333333,7.889227642
2010,3.994826255,53667.53154,1228670.852,13692391947,9110093009,-174026107.8,3235725552,2.79046332,79.17951737,4.165,1.63,14.35916667,14.00916667,1.785,3.599166667,3.806666667,4.485,4.5,6.423745174
2011,13.99015873,74342.05127,1473743.001,17272679879,10100126370,-1364485299,3388428000,2.71,88.8665873,4.2225,1.381666667,15.04916667,14.89333333,9.62,8.730833333,8.890833333,9.917272727,4.6875,8.375992063
2012,9.695275591,97545.11937,1648355.036,11203175900,11203175900,-1141800837,3585785000,2.69,84.52293307,7.9075,1.6025,19.64833333,19.85333333,13.63833333,12.75583333,13.54166667,14.34583333,5.25,15.79133858
2013,5.721927711,107631.1647,1944568.778,18299434695,10972694027,-920213200.2,3982522000,2.76,86.12630522,6.508333333,1.594166667,17.30916667,17.14166667,8.415,8.925,9.289166667,10.975,5.25,8.825301205
2014,6.890396825,119092.7171,2292294.658,20279300678,11248585738,-745818769.2,4199127000,2.77,87.92378968,6.591666667,1.536666667,16.51416667,16.3925,7.940833333,8.930833333,9.73,10.41833333,5.25,8.5
2015,6.610479705,128777.7402,2840076.39,17669406545,10608335823,-377731883.4,4381759000,2.76,98.51769373,6.933333333,1.584166667,16.15583333,16.24666667,11.23833333,10.9275,12.20916667,12.87333333,5.25,10.05535055
2016,6.29716,143643.8162,3532271.32,16171498982,9912815674,-352628512.9,4567712000,2.76,101.49772,7.095,2.924166667,16.575,16.60083333,4.826666667,8.5125,10.9025,11.67583333,5.25,10.622
2017,8.05728,161885.0934,4307819.368,19080378151,10448711418,-1236175275,5303104000,3.54,103.41274,7.518333333,6.289166667,13.6675,13.48416667,6.454166667,8.371666667,10.42363636,10.94416667,5.25,10
2018,4.68736,224335.9523,5043669.329,20167352977,11564075006,-770978668.5,5801797000,4.28,101.29908,7.913333333,6.365,13.06166667,12.98833333,5.220833333,7.7625,9.531666667,10.37166667,5.25,9.332
2019,5.10864,224335.9523,5043669.329,20167352977,11564075006,-770978668.5,5801797000,4.28,101.29908,7.074166667,4.7,12.44083333,11.98666667,4.33,6.918333333,7.865833333,9.486666667,5.25,9.332
2020,5.188389662,245590.6818,6270278.423,19051982346,10582987704,-20333280.33,8235874928,5.316819085,104.2536779,6.7275,3.886666667,11.99583333,11.48583333,3.735,6.855,7.511666667,8.563333333,4.416666667,8.069582505
2021,6.115577689,309846.849,7731911.674,22000771322,11814617095,383613637.7,10228332000,5.69,109.6508765,6.375833333,2.7325,12.08083333,11.44333333,4.708333333,6.95675,7.566666667,8.453416667,4.25,7
2022,5.39,335540.9002,,24605579817,13953584184,-250399759.5,11052655000,5.81,117.8445935,6.7675,2.961666667,12.335,11.87166667,4.9,8.173333333,8.981666667,9.8875,4.25,7.663617886
2023,8.98,349391.83,,22046326203,12625503424,-228284631.5,12464757000,5.68,123.42,8.294166667,3.8675,13.58916667,13.21333333,9.813333333,12.2125,12.42333333,12.72333333,4.25,8.75
