Date,12-Month Inflation(%),Total Remittances ,Total Debt,Imports ,Exports ,Foreign direct investment,"IBRD loans and IDA credits (DOD, current US$)",Unemployment Rate,exchange_rate,Deposit,Savings,Lending ,Overdraft ,Interbank Rate,91-Day Tbill,182-days Tbill,364-days Tbill,Cash Reserve Requirement,Central Bank Rate
2005-01-31,14.87,28564.0,737448.8,6739990276,5341992293,-11524455.87,2663224000,2.74,76.8,3.08,0.97,12.12,13.14,8.72,8.26,8.76,10.547445121951219,6.0,9.137440758293838
2005-02-28,13.94,26056.0,737771.91,6739990276,5341992293,-11524455.87,2663224000,2.74,75.62,3.47,0.96,12.35,13.82,8.14,8.59,8.96,10.547445121951219,6.0,9.137440758293838
2005-03-31,14.15,31219.0,721187.3,6739990276,5341992293,-11524455.87,2663224000,2.74,75.02,3.75,0.98,12.84,14.03,8.13,8.63,8.91,10.547445121951219,6.0,9.137440758293838
2005-04-29,16.02,29216.0,731506.31,6739990276,5341992293,-11524455.87,2663224000,2.74,76.6,3.91,1.1,13.12,14.0,8.28,8.68,8.92,10.547445121951219,6.0,9.137440758293838
2005-05-31,14.78,32358.0,728452.1,6739990276,5341992293,-11524455.87,2663224000,2.74,77.06,4.05,1.07,13.11,13.94,8.3,8.66,9.02,10.547445121951219,6.0,9.137440758293838
2005-06-30,11.92,34360.0,749548.15,6739990276,5341992293,-11524455.87,2663224000,2.74,76.21,4.21,1.24,13.09,13.83,7.37,8.5,8.96,10.547445121951219,6.0,9.137440758293838
2005-07-29,11.76,29133.0,759427.32,6739990276,5341992293,-11524455.87,2663224000,2.74,76.04,4.14,1.3,13.09,13.54,7.51,8.59,9.08,10.547445121951219,6.0,9.137440758293838
2005-08-31,6.87,31759.0,760231.23,6739990276,5341992293,-11524455.87,2663224000,2.74,75.7,4.3,1.3,13.03,13.81,7.77,8.66,9.09,10.547445121951219,6.0,9.137440758293838
2005-09-30,4.27,31616.0,747660.31,6739990276,5341992293,-11524455.87,2663224000,2.74,74.08,4.35,1.34,12.83,13.5,8.03,8.58,8.9,10.547445121951219,6.0,9.137440758293838
2005-10-31,3.72,33037.0,751143.14,6739990276,5341992293,-11524455.87,2663224000,2.74,73.605,4.43,1.32,12.97,13.56,7.98,8.19,8.52,10.547445121951219,6.0,9.137440758293838
2005-11-01,4.4,34282.0,751399.38,6739990276,5341992293,-11524455.87,2663224000,2.74,73.74,4.5,1.37,12.93,13.33,7.64,7.84,8.37,10.547445121951219,6.0,9.137440758293838
2005-12-01,4.7,40557.0,743603.81,6739990276,5341992293,-11524455.87,2663224000,2.74,73.76,4.52,1.38,13.16,13.67,7.79,8.07,8.49,10.547445121951219,6.0,9.137440758293838
2006-01-03,8.39,31506.0,741495.47,8329126840,5935978411,-26717027.61,2764089000,2.68,72.41,4.48,1.33,13.2,13.81,7.78,8.23,8.84,10.547445121951219,6.0,9.137440758293838
2006-02-01,9.39,30283.0,745745.67,8329126840,5935978411,-26717027.61,2764089000,2.68,71.48,4.48,1.36,13.27,13.34,7.73,8.02,8.85,10.547445121951219,6.0,9.137440758293838
2006-03-01,8.85,36354.0,753067.75,8329126840,5935978411,-26717027.61,2764089000,2.68,72.695,4.28,1.34,13.33,13.26,7.52,7.6,8.52,10.547445121951219,6.0,9.137440758293838
2006-04-03,5.44,35369.0,754752.13,8329126840,5935978411,-26717027.61,2764089000,2.68,71.61,4.35,1.33,13.51,13.81,6.97,7.02,7.36,10.547445121951219,6.0,9.137440758293838
2006-05-02,4.47,42427.0,755983.63,8329126840,5935978411,-26717027.61,2764089000,2.68,71.12,4.36,1.31,13.95,14.02,8.11,7.01,7.48,10.547445121951219,6.0,9.137440758293838
2006-06-02,4.28,35667.0,789075.78,8329126840,5935978411,-26717027.61,2764089000,2.68,72.21,4.35,1.27,13.79,13.78,6.41,6.6,7.32,10.547445121951219,6.0,9.75
2006-07-03,4.16,41065.0,795503.56,8329126840,5935978411,-26717027.61,2764089000,2.68,73.77,4.31,1.32,13.72,13.48,5.74,5.89,6.42,10.547445121951219,6.0,9.75
2006-08-01,4.92,30586.68,799058.94,8329126840,5935978411,-26717027.61,2764089000,2.68,73.545,4.08,1.41,13.64,13.43,5.66,5.96,6.47,10.547445121951219,6.0,10.0
2006-09-01,5.93,28840.55,794239.41,8329126840,5935978411,-26717027.61,2764089000,2.68,72.615,4.04,1.36,13.54,13.42,6.02,6.45,7.45,10.547445121951219,6.0,10.0
2006-10-02,6.55,29632.66,799938.11,8329126840,5935978411,-26717027.61,2764089000,2.68,72.635,4.11,1.35,14.01,13.94,6.08,6.83,8.31,10.547445121951219,6.0,10.0
2006-11-01,6.64,31402.87,805967.92,8329126840,5935978411,-26717027.61,2764089000,2.68,71.795,4.15,1.37,13.93,13.96,6.18,6.41,7.99,10.547445121951219,6.0,10.0
2006-12-01,7.98,34458.82,792863.77,8329126840,5935978411,-26717027.61,2764089000,2.68,69.99,4.11,1.35,13.74,13.91,6.34,5.73,7.32,10.547445121951219,6.0,10.0
2007-01-02,4.63,40930.36,795595.34,10218887780,7004914020,-693011390.5,2968119000,2.65,69.585,4.35,1.42,13.78,14.11,6.43,6.0,8.28,10.547445121951219,6.0,10.0
2007-02-01,3.02,39533.07,802335.34,10218887780,7004914020,-693011390.5,2968119000,2.65,70.375,4.21,1.41,13.64,14.05,6.52,6.22,8.56,10.547445121951219,6.0,10.0
2007-03-01,2.19,48561.0,795343.48,10218887780,7004914020,-693011390.5,2968119000,2.65,69.54,4.19,1.43,13.56,13.95,6.55,6.32,7.97,10.547445121951219,6.0,10.0
2007-04-02,1.85,38250.91,810757.12,10218887780,7004914020,-693011390.5,2968119000,2.65,68.74,4.11,1.35,13.33,13.26,6.81,6.65,7.93,10.547445121951219,6.0,10.0
2007-05-02,1.96,41163.5,810539.06,10218887780,7004914020,-693011390.5,2968119000,2.65,67.945,4.14,1.57,13.38,13.35,7.11,6.77,7.98,10.547445121951219,6.0,10.0
2007-06-04,4.07,48642.95,801254.11,10218887780,7004914020,-693011390.5,2968119000,2.65,66.98,4.18,1.54,13.14,13.2,6.98,6.53,7.19,10.547445121951219,6.0,8.5
2007-07-02,5.48,53350.83,820741.77,10218887780,7004914020,-693011390.5,2968119000,2.65,66.66,4.33,1.65,13.29,13.34,7.07,6.52,7.17,10.547445121951219,6.0,8.5
2007-08-01,5.3,58803.32,824981.16,10218887780,7004914020,-693011390.5,2968119000,2.65,67.305,4.31,1.6,13.04,13.39,7.38,7.3,7.99,10.547445121951219,6.0,8.75
2007-09-03,5.53,60575.1,835502.14,10218887780,7004914020,-693011390.5,2968119000,2.65,66.86,4.34,1.67,12.87,13.26,7.59,7.35,7.82,10.547445121951219,6.0,8.75
